strain,date,region,host,year,country,genotype,place_of_collection,author,accession
MH633688.1,2016-01-01 (2016-01-01 - 2016-06-28),EAs,Homo sapiens,2016,China,A,China,"Chen,C., Jiang,D., Ni,M., Li,J., Chen,Z., Liu,J., Ye,H., Wong,G., Li,W., Zhang,Y., Wang,B., Bi,Y., Chen,D., Zhang,P., Zhao,X., Kong,Y., Shi,W., Du,P., Xiao,G., Ma,J., Gao,G.F., Cui,J., Zhang,F., Liu,W., Bo,X., Li,A., Zeng,H. and Liu,D.",
MH633684.1,2016-11-28 (2016-01-01 - 2016-12-31),EAs,Homo sapiens,2016,China,A,China,"Chen,C., Jiang,D., Ni,M., Li,J., Chen,Z., Liu,J., Ye,H., Wong,G., Li,W., Zhang,Y., Wang,B., Bi,Y., Chen,D., Zhang,P., Zhao,X., Kong,Y., Shi,W., Du,P., Xiao,G., Ma,J., Gao,G.F., Cui,J., Zhang,F., Liu,W., Bo,X., Li,A., Zeng,H. and Liu,D.",
MH633686.1,2016-11-28 (2016-01-01 - 2016-12-31),EAs,Homo sapiens,2016,China,A,China,"Chen,C., Jiang,D., Ni,M., Li,J., Chen,Z., Liu,J., Ye,H., Wong,G., Li,W., Zhang,Y., Wang,B., Bi,Y., Chen,D., Zhang,P., Zhao,X., Kong,Y., Shi,W., Du,P., Xiao,G., Ma,J., Gao,G.F., Cui,J., Zhang,F., Liu,W., Bo,X., Li,A., Zeng,H. and Liu,D.",
KY495641.1,3/11/2016,EAs,Homo sapiens,2016,China,A,China,"Bi,Y., Wang,B., Wong,G., Liu,D. and Zeng,H.",
KU921608.1,3/10/2016,EAs,Homo sapiens,2016,China,A,China,"Liu,L.",
KX268355.1,3/11/2016,EAs,Homo sapiens,2016,China,A,China,"Liu,L., Lv,Y., Li,J., Zhang,Y., Li,J., Qu,J., Zhang,S., Li,C., Zhang,Q., Wang,Q., Chen,J., Wang,S., Pang,X., Liang,M., Ma,X., Wang,Q. and Li,D.",
KX010996.1,3/18/2016,EAs,Homo sapiens,2016,China,A,China,"Cui,S., Liang,Z., Wang,Q., Chen,L., Li,X., Li,J., Du,Y., Lu,G., Huo,D., Lyu,Y., Zhang,L., Zheng,Y., Chen,Y., Li,X. and Li,S.",
KY873608.1,3/23/2016,EAs,Homo sapiens,2016,China,A,China,"Liu,L., Zhang,Y., Li,A., Zhang,S., Li,C., Zhang,Q., Liang,M., Ma,X. and Li,D.",
KX010995.1,3/17/2016,EAs,Homo sapiens,2016,China,A,China,"Cui,S., Liang,Z., Li,J., Wang,Q., Chen,L., Li,X., Huo,D., Zheng,Y., Chen,Y., Zhang,L., Dou,X., Tian,L. and Sun,Y.",
KY873607.1,3/21/2016,EAs,Homo sapiens,2016,China,A,China,"Liu,L., Zhang,Y., Li,A., Zhang,S., Li,C., Zhang,Q., Liang,M., Ma,X. and Li,D.",
KY587416.1,3/20/2016,EAs,Homo sapiens,2016,China,A,China,"Tang,H., Ren,R. and Zhao,P.",
JX898869.1,1973-01-01 (1973-01-01 - 1973-10-31),SSAf,Aedes africanus,1973,Cote_d'Ivoire,WAI,Cote_d'Ivoire,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
KU978763.1,1946-12-31 (1946-02-09 - 1946-12-31),SSAf,Homo sapiens,1946,Nigeria,WAI,Nigeria,"Guerbois,M., Forrester,N.L., Rossi,S.L., Lin,D., Hari,K. and Weaver,S.C.",
U54798.1,1982-01-01 (1982-01-01 - 1982-11-22),SSAf,unknown_host,1982,Cote_d_Ivoire,WAI,Nigeria,"Pisano,M.R., Nicoli,J. and Tolou,H.",
MK060080.1,10/30/1979,SSAf,Homo sapiens,1979,Senegal,WAI,Senegal,"Amraoui,F., Pain,A., Piorkowski,G., Vazeille,M., Couto-Lima,D., de Lamballerie,X., Lourenco-de-Oliveira,R. and Failloux,A.B.",
JX898876.1,2001-01-01 (2001-01-01 - 2001-11-25),SSAf,Aedes furcifer,2001,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898877.1,2005-01-01 (2005-01-01 - 2005-12-31),SSAf,Aedes furcifer,2005,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898880.1,2005-01-01 (2005-01-01 - 2005-12-31),SSAf,Aedes luteocephalus,2005,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898879.1,2005-01-01 (2005-01-01 - 2005-12-31),SSAf,Aedes taylori,2005,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898881.1,2005-04-09 (2005-01-01 - 2005-12-31),SSAf,Aedes luteocephalus,2005,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898878.1,2005-04-09 (2005-01-01 - 2005-12-31),SSAf,Aedes furcifer,2005,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
MN106242.1,1966-11-11 (1965-05-23 - 1968-09-08),SSAf,unknown_host,1965,Guinea-Bissau,WAI,Guinea-Bissau,"Danet,L., Beauclair,G., Berthet,M., Moratorio,G., Gracias,S., Tangy,F., Choumet,V. and Jouvenet,N.",
KU978765.1,8/23/1965,SSAf,Homo sapiens,1965,Guinea-Bissau,WAI,Guinea-Bissau,"Guerbois,M., Forrester,N.L., Rossi,S.L., Lin,D., Hari,K. and Weaver,S.C.",
OM066735.1,10/26/2021,SSAf,Homo sapiens,2021,Ghana,WAI,Ghana,"Bonney,J.H.K., Sanders,T., Pratt,D., Agbodzi,B., Laryea,D., Kumordjie,S., Attiku,K., Mawuli,G., Yeboah,C., Odoom,J., Kubio,C. and Asiedu-Bekoe,F.",
OM066736.1,11/4/2021,SSAf,Homo sapiens,2021,Ghana,WAI,Ghana,"Bonney,J.H.K., Sanders,T., Pratt,D., Agbodzi,B., Laryea,D., Kumordjie,S., Attiku,K., Mawuli,G., Yeboah,C., Odoom,J., Kubio,C. and Asiedu-Bekoe,F.",
OM066737.1,11/4/2021,SSAf,Homo sapiens,2021,Ghana,WAI,Ghana,"Bonney,J.H.K., Sanders,T., Pratt,D., Agbodzi,B., Laryea,D., Kumordjie,S., Attiku,K., Mawuli,G., Yeboah,C., Odoom,J., Kubio,C. and Asiedu-Bekoe,F.",
AY603338.1,1999-01-01 (1999-01-01 - 1999-10-30),SSAf,unknown_host,1999,Cote_d'Ivoire,WAI,Cote_d'Ivoire,"Bae,H.G., Drosten,C., Emmerich,P., Colebunders,R., Hantson,P., Pest,S., Parent,M., Schmitz,H., Warnat,M.A. and Niedrig,M.",
JX898868.1,1995-12-31 (1995-04-29 - 1995-12-31),SSAf,Homo sapiens,1995,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898870.1,1996-01-01 (1996-01-01 - 1996-10-20),SSAf,Aedes furcifer,1996,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898875.1,2000-12-31 (2000-03-14 - 2000-12-31),SSAf,Aedes furcifer,2000,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898874.1,2000-09-03 (2000-01-01 - 2000-12-31),SSAf,Aedes taylori,2000,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
JX898873.1,2000-12-08 (2000-01-01 - 2000-12-31),SSAf,Aedes furcifer,2000,Senegal,WAI,Senegal,"Stock,N.K., Laraway,H., Faye,O., Diallo,M., Niedrig,M. and Sall,A.A.",
AY572535.1,2001-01-01 (2001-01-01 - 2001-11-02),SSAf,unknown_host,2001,Gambia,WAI,Gambia,"Bae,H.G., Drosten,C., Emmerich,P., Colebunders,R., Hantson,P., Pest,S., Parent,M., Schmitz,H., Warnat,M.A. and Niedrig,M.",
MN211307.1,2017-08-09 (2017-01-20 - 2018-11-08),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211304.1,2018-03-06 (2017-10-24 - 2018-11-30),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211301.1,2018-03-06 (2017-10-24 - 2018-11-30),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211303.1,2018-05-14 (2017-11-16 - 2019-05-02),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211310.1,2018-01-16 (2017-09-15 - 2018-08-08),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211308.1,2018-05-10 (2017-11-15 - 2019-04-25),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211305.1,2018-04-26 (2017-08-21 - 2019-08-30),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN958078.1,2018-06-03 (2018-01-01 - 2018-12-31),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., Ogbaini-Emovon,E., MacInnis,B.L., Folarin,O.A., Modjarrad,K., Schaffner,S.F., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211306.1,2018-05-30 (2018-01-15 - 2019-04-10),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211309.1,2018-01-27 (2017-03-15 - 2022-01-30),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MK457701.1,10/22/2018,SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Siddle,K.J., Mehta,S.N., Folarin,O.A., Sabeti,P.C. and Happi,C.T.",
MN211311.1,2018-01-27 (2017-03-15 - 2022-01-30),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MN211302.1,2018-08-12 (2018-02-05 - 2019-08-13),SSAf,Homo sapiens,2018,Nigeria,WAI,Nigeria,"Ajogbasile,F.V., Oguzie,J.U., Oluniyi,P.E., Eromon,P.E., Uwanibe,J.N., Mehta,S.B., Siddle,K.J., Odia,I., Winnicki,S.M., Akpede,N., Akpede,G., Okogbenin,S., MacInnis,B.L., Folarin,O.A., Schaffner,S.F., Ogbaini-Emovon,E., Tomori,O., Ihekweazu,C., Sabeti,P.C. and Happi,C.T.",
MK292067.1,11/19/2018,WEu,Homo sapiens,2018,Netherlands,WAI,Netherlands,"Phan,M.V., Murad,S.D., van der Eijk,A.A., Metselaar,H.J., Hartog,H., Harinck,F., GeurtsvanKessel,C.H., Molenkamp,R., Cotten,M. and Koopmans,M.P.",
MZ595184.1,2020-05-30 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595196.1,2020-02-24 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595193.1,2020-02-15 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595199.1,2020-01-01 (2020-01-01 - 2020-06-04),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595182.1,2020-02-25 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595203.1,2020-12-31 (2020-08-02 - 2020-12-31),SSAf,Homo sapiens,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595204.1,2020-01-19 (2020-01-01 - 2020-12-31),SSAf,Homo sapiens,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595195.1,2020-12-31 (2020-05-23 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595189.1,2020-04-17 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595183.1,2020-01-01 (2020-01-01 - 2020-05-26),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595185.1,2020-02-15 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595187.1,2020-03-12 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595194.1,2020-03-12 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595198.1,2020-02-03 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595197.1,2020-05-12 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
MZ595190.1,2020-10-12 (2020-01-01 - 2020-12-31),SSAf,mosquito,2020,Senegal,WAI,Senegal,"Diagne,M.M., Ndione,M.H.D., Gaye,A., Barry,M.A., Diallo,D., Diallo,A., Mwakibete,L.L., Diop,M., Ndiaye,E.H., Ahyong,V., Diouf,B., Mhamadi,M., Diagne,C.T., Danfakha,F., Diop,B., Faye,O., Loucoubar,C., Fall,G., Tato,C.M., Sall,A.A., Weaver,S.C., Diallo,M. and Faye,O.",
